Character,Text
Yuka Minase,Whats going on Kakerukun what in the worlds going on hey
Kakeru Satsuki,I also dont know whats happening No ones around Everyones disappeared somewhere
Yuka Minase,Father Mother
Kakeru Satsuki,Theyre not here Yuka Somethings there Lets go
Yuka Minase,Where are we going
Kakeru Satsuki,Thats right lets go to school
Yuka Minase,School
Kakeru Satsuki,There might be a chance someone is there
Yuka Minase,What is that Kakerukun
Kakeru Satsuki,Were running away
Yuka Minase,Were back Are you all right Kakerukun
Kakeru Satsuki,Yeah but why are you
Yuka Minase,When I came to pick you up your door was open I thought something happened and I panicked
Kakeru Satsuki,I see When we came back yesterday I was a bit dazed
Yuka Minase,What about you are you okay I couldnt sleep last night
Kakeru Satsuki,I see
Yuka Minase,I was too scared to close my eyes so scared
Kakeru Satsuki,Yeah I was too I couldnt sleep either
Yuka Minase,You were just sleeping soundly
Kakeru Satsuki,Well if you jump to conclusions Yuka
Yuka Minase,Will it happen again That Crimson Night
Tadashi Teruya,Hey
Kaori Natsuki,Good morning
Tadashi Teruya,What is this what is this Walking to school together like a date
Kaori Natsuki,Dont say unnecessary things
Kakeru Satsuki,Ill protect you If anything happens again I will protect you Yuka So dont worry
Yuka Minase,Kakerukun Im happy Im so happy
Kakeru Satsuki,IIdiot Dont cry in a place like this People will misunderstand
Tadashi Teruya,YYou made her cry You made a girl cry in the morning
Kakeru Satsuki,See
Yuka Minase,Sorry
Kakeru Satsuki,Lets go in
Yuka Minase,Yeah
Teacher,Everyone let me introduce a transfer student This is Shiori Momonosan
Tadashi,CCute Moe
Teacher,Momonosan came back to Japan from Italy
Kaori Natsuki,Italy Cool
Teacher,Now then Momonosan please introduce yourself
Shiori Momono,There is no need
Teacher,Huh
Shiori Momono,There is no need
students,Hey whats your hobby Wheres your house at Are you interested in Kuino Shirohara
Tadashi Teruya,Yeah yeah yeah Ask your questions in order Lets see Now first whats your three sizes
Kaori Natsuki,Die
Shiori Momono,I dont have any interest in you all So dont interfere with me
Kakeru Satsuki,What is it
Yuka Minase,Um
Kakeru Satsuki,Yuka
Yuka Minase,Kakerukun I can walk now
Kakeru Satsuki,No you cant
Yuka Minase,Its because Im lacking sleep Im all right Its embarrassing
Kakeru Satsuki,Cant you see Ive got a sick person Hey That guy
Yuka Minase,No its Sorry
Kakeru Satsuki,Is that so Then Ill go back
Yuka Minase,Thank you Kakerukun
Kakeru Satsuki,Rest a bit Yes I had it since birth Excuse me
Yuka Minase,Kakerukun cant see through his right eye Because of that his irises have a different color so he wears the eye patch SSensei
Kakeru Satsuki,So did you get some sleep
Yuka Minase,Yeah so Im all right Sorry for making you worry
Kakeru Satsuki,If its not too hard on your body shall we go
Yuka Minase,Eh
Kakeru Satsuki,Ianith We couldnt go yesterday right The outlet sale is until today
Yuka Minase,Kakerukun Yup Oh right Mother and Father said for you to come over sometime and eat
Kakeru Satsuki,Yeah I should
Yuka Minase,You want to come over today when we return
Kakeru Satsuki,Nah Ill come over another day That aside you always carry that but what is it
Yuka Minase,Penzosan
Kakeru Satsuki,Penzo san
Yuka Minase,Penzosan is incredible you know See
Kakeru Satsuki,YYeah incredible
Yuka Minase,I know right Lets not go here
Kakeru Satsuki,Yeah
Yuka Minase,That was fun
Kakeru Satsuki,Is it really all right not having bought anything
Yuka Minase,Its okay If Im with you its fun just looking around
Kakeru Satsuki,It was a good thing we came Its not like the shock and insecurity from yesterday has worn off but this smile isnt a lie
Yuka Minase,Hey Kakerukun
Kakeru Satsuki,Hmm
Yuka Minase,Shall we do that Okay
Kakeru Satsuki,YYuka
Yuka Minase,Okay Please
Kakeru Satsuki,Yeah Whatever that thing was doesnt matter I dont want Yuka to have painful thoughts anymore As long as it doesnt happen again everythings fine
Yuka Minase,Its quiet isnt it
Kakeru Satsuki,Yeah
Yuka Minase,Itd be nice if it were always like this right
Kakeru Satsuki,Yeah
Yuka Minase,Kakeru kun Kukurisan Kakerukun
Kakeru Satsuki,What the heck is going on Why has Neesan
Yuka Minase,Kakerukun
Kakeru Satsuki,Its all right Yuka
Yuka Minase,Kakerukun Kakerukun
Misuzu Kusakabe,Get down Are you hurt Looks like youre fine thank goodness
Kakeru Satsuki,Who are you
Misuzu Kusakabe,Lets run
Kakeru Satsuki,Yes
Yuka Minase,What is that
Kakeru Satsuki,Are you all right
Yuka Minase,Yeah Rainbow High TL Note Nijikou 虹校 is an abbreviation for 虹陵館学園 the school the main characters attend
Misuzu Kusakabe,Yeah Looks like you two are too Theres no secret tricks behind this
Kakeru Satsuki,Who in the world are you
Misuzu Kusakabe,I am Misuzu Kusakabe A senior at Rainbow High
Kakeru Satsuki,Im Kakeru Satsuki This girl is
Yuka Minase,Im Yuka Minase Were both sophomores
Misuzu Kusakabe,I see Nice to meet you
Yuka Minase,Thank you for before
Misuzu Kusakabe,I dont need any thanks I only did what was right
Yuka Minase,Kusakabesenpai what exactly is this world
Misuzu Kusakabe,Even I dont know The only thing for certain is This world was created by someones will so the scenery is the same but It exists in a different spacetime than the real world
Kakeru Satsuki,A different spacetime
Yuka Minase,Why have we come to this this Crimson Night
Misuzu Kusakabe,Crimson Night Thats not a bad name I dont know the true intention but Theres no doubt that theres a meaning to this and also a reason for being chosen
Kakeru Satsuki,Chosen
Misuzu Kusakabe,Do you two also have some kind of power
Yuka Minase,Power
Misuzu Kusakabe,Something like what you have Kusakabesenpai
Kakeru Satsuki,We dont have anything like that
Misuzu Kusakabe,Its them
Kakeru Satsuki,Them
Yuka Minase,I want to go back Kakerukun
Kakeru Satsuki,Yuka
Misuzu Kusakabe,Rin Pyou Tou Sha Kai Jin Retsu Zai Zen Over there As I thought That crystal tower is full of powerful energy Perhaps that place could be the center of this world Im going to the tower You two should hide
Kakeru Satsuki,Ill go as well
Yuka Minase,Kakerukun You cant its dangerous
Kakeru Satsuki,Kusakabesenpai Ill go with you
Misuzu Kusakabe,Youll just be a burden What can you do You without any powers Damn
TL Note,TL Note Tachibana Dousetsu is the name of a samurai that wielded Raikiri with which he used to slay a lightning god
Misuzu Kusakabe,Tachibana Dousetsu Lightning Blade Run away
Kakeru Satsuki,Lets go to that tower
Yuka Minase,Kakerukun
Misuzu Kusakabe,Do you want to die You two must flee until this Crimson Night is over
Kakeru Satsuki,When will it end Wheres the proof that it will ever end It may not end this time We might be in here forever If theres a chance of escape at that tower then I want to go
Misuzu Kusakabe,Do you want to help this girl
Kakeru Satsuki,Yes
Yuka Minase,Kakerukun
Misuzu Kusakabe,Even if you run and hide the result is the same huh All right I understand However I dont know what could be in that tower You may not be able to completely protect her Even then are you sure
Kakeru Satsuki,Yes Yuka go somewhere and
Yuka Minase,Im going too dont leave me here
Kakeru Satsuki,No matter what happens I will definitely protect you Come
Misuzu Kusakabe,Were almost there
Yuka Minase,Kakerukun
Misuzu Kusakabe,Whats wrong
Kakeru Satsuki,My eye
Misuzu Kusakabe,Can you go on
Kakeru Satsuki,Yes
Enemy A,I cannot let you proceed any further
Misuzu Kusakabe,So theres also ones that can talk If you say that you cannot let us pass then that means you have something important to protect there I thank you for telling me that Strong She doesnt have any wasted movements
Enemy A,As I thought that girl is
Yuka Minase,A girl
Lisette,Save me Please
Misuzu Kusakabe,Whats your name
Lisette,Im Lisette
Misuzu Kusakabe,Why do you call out for help
Lisette,Im trapped in here Save me get me out of here
Misuzu Kusakabe,Dont go Lisette is the origin of the energy Most likely shes the person that made this Crimson Night
Kakeru Satsuki,Is that true Lisette Did you bring us here
Lisette,No It wasnt me
Misuzu Kusakabe,Thats a lie
Kakeru Satsuki,Send us back To the world where we came from Please
Lisette,I cant
Misuzu Kusakabe,Its unconscious Perhaps its something inside of Lisette It unconsciously activated created this world and brought us into it
Yuka Minase,Lets save her
Kakeru Satsuki,Yuka but
Yuka Minase,Shes suffering Please Kakerukun
Kakeru Satsuki,If you say so
Enemy B,What a weak boy Youre so similar to Verard Staich yet so different
Yuka Minase,Kakerukun
Enemy B,Its useless Within this palace your skills are unusable Now then shall we have you disappear
Misuzu Kusakabe,Are all of you those who protect Or those who rule
Enemy B,I have no need to answer fragments that will disappear
Misuzu Kusakabe,Fragments
Enemy B,All of you must not exist Especially you Invidia
Misuzu Kusakabe,Run away
Kakeru Satsuki,Yuka
Yuka Minase,Kakerukun
Misuzu Kusakabe,Have you calmed down a bit
Kakeru Satsuki,Yes
Misuzu Kusakabe,What about Minasekun
Yuka Minase,Somehow
Misuzu Kusakabe,Geez I feel like Im being toyed around with as they please Every single time Even though I didnt want to be chosen
Kakeru Satsuki,Them You said it before right Them Could it be that there are others people that were also brought into the Crimson Night
Misuzu Kusakabe,Yeah there are At the very least there are three others But Ive only seen the face of one of them The other two I caught a glimpse of as they were leaving out of the corner of my eye
Kakeru Satsuki,What kind of people are they
Misuzu Kusakabe,All three of them are students at Rainbow High Two girls and one guy
Kakeru Satsuki,Were they running away from them
Misuzu Kusakabe,No they were fighting with the demons
Yuka Minase,Demons
Misuzu Kusakabe,Yeah In Onmyoudou all wicked beings are called demons
TL Note,TL NOTE Onmyoudou is a practice of spiritual balance based on Wu Xing and Yin and Yang An Onmyouji is a practitioner of this
Kakeru Satsuki,So youre an Onmyouji right
Misuzu Kusakabe,Its hereditary Those people were not shiki
TL Note,TL NOTE Shiki are a type of spirit summoned by an onmyouji often invisible to normal people
Misuzu Kusakabe,Which means rather than demons they are spirits of darkness An Ahriman might be more appropriate
Kakeru Satsuki,Ahriman
Yuka Minase,Um so where are the other students
Misuzu Kusakabe,Yeah Ill let you meet them The one that I saw is a senior I also know her name
Kakeru Satsuki,If they were fighting do they have some kind of power So are they also Onmyouji
Misuzu Kusakabe,No thats not it About their powers itd be better to ask them yourself
Kakeru Satsuki,Do I have some kind of power too
Yuka Minase,Kakerukun
Kakeru Satsuki,At that time that black knight said that I was
Misuzu Kusakabe,Satsukikun can you try taking that off
Kakeru Satsuki,My right eye
Misuzu Kusakabe,Im not really certain but you remember the pain back then right
Kakeru Satsuki,Ahh right Now that you mention it whenever we enter the Crimson Night my right eye always
Misuzu Kusakabe,Let me see
Kakeru Satsuki,Yes
Yuka Minase,Senpai Is something wrong
Misuzu Kusakabe,Minasekun dont you feel anything
Yuka Minase,Huh
Misuzu Kusakabe,I see thats enough thank you You probably havent awakened yet I dont know what kind of power it has but I will find out as much as I can about that eye
Kakeru Satsuki,I also have some kind of power
Yuka Minase,So that means that I also have something Thats why you were chosen right Same for me Is it all right if we stay like this
Kakeru Satsuki,Yeah
Yuka Minase,Are we going to be killed When I die stay by my side
Kakeru Satsuki,Stupid Dont say stuff like that
Yuka Minase,But
Kakeru Satsuki,Ill protect you Yuka I will for sure
Tadashi Teruya,I found Kakeru Whatre you doing crossing arms like that All lovey dovey
Yuka Minase,TTadashikun
Kaori Natsuki,Sorry I couldnt stop him in time
Yuka Minase,Kaorichan
Kaori Natsuki,Aw geez what the heck are you doing
Kakeru Satsuki,Dont fall over all of a sudden I hit my head you know
Tadashi Teruya,Ow I hit my nose How exactly could you have hit it I dont know I just did
Yuka Minase,Kakerukun
Tadashi Teruya,Ah thats nice Kaori pick me up Ill give you a cookie
Kaori Natsuki,Am I some kind of domestic animal
Yuka Minase,Whats wrong Kakerukun Shiorisan
Kaori Natsuki,Ah youre here I brought her because she asked me to guide her through ShinAyame but she disappeared
Tadashi Teruya,Shiorichan Pick me up Or you can ignore me
Kaori Natsuki,Where did you go We were looking for you
Shiori Momono,I was following a cat then I got lost
Kaori Natsuki,A cat
Tadashi Teruya,Kaori lift me up For two cookies
Kaori Natsuki,Youre really annoying If you want to be picked up then give me a Yukiccho TL Note Shes making a reference to the man on the  yen bill Yukichi Fukuzawa
Tadashi Teruya,Youre a demon bride
Kaori Natsuki,Who are you calling a bride Why do I have to be your bride
Tadashi Teruya,Stop it
Kakeru Satsuki,Ill have them give me a break from work today After I greet the master Ill walk you back home
Yuka Minase,Thanks Sorry
Kakeru Satsuki,Dont worry about it
Yukiko Hirohara,Welcome
Kakeru Satsuki,I see so youre a new parttimer here
Yukiko Hirohara,Yes I believe that the master will be back from shopping soon
Kakeru Satsuki,Okay Excuse me but have we met you before
Yukiko Hirohara,Ah we might have because we go to the same school
Kakeru Satsuki,So thats how it is
Yukiko Hirohara,Ah I had an accident earlier Im quite the klutz But Im all right so no need to worry Im a Kouryoukan Academy freshman in class C My name is Yukiko Hirohara TL Note NijikouryoukanGakuen 虹陵館学園 is the full name of the school Please call me Yukipon
Yuka Minase,Yukipon
Yukiko Hirohara,Yes So what should I call Satsukisenpai and Minasesenpai by
Kakeru Satsuki,Well isnt Satsukisenpai all right as usual
Yukiko Hirohara,I cant do that If I do that itd be like were strangers
Kakeru Satsuki,We are strangers
Yukiko Hirohara,Huh Did you just say something
Kakeru Satsuki,Ah nothing not really
Yuka Minase,You can call me Yuka
Yukiko Hirohara,Yup Affirmative All right then Ill call Minasesenpai Yukasan And Satsukisenpai is Kacchan
Kakeru Satsuki,Can you at least call me Kakerusenpai
Yukiko Hirohara,Yup affirmative All right then thats what itll be Ah Ill pour you some coffee Yukiko special I just perfected it a while ago its really tasty Just wait a little bit
Kakeru Satsuki,After talking with Yukikochan its already this late
Yuka Minase,Its all right I already called Mom Wanna come over
Kakeru Satsuki,No Ill go home for today Im tired after all
Yuka Minase,I see Its a good thing that were the only ones having hard times Well then see you tomorrow
Kakeru Satsuki,Yeah
Yuka Minase,That was just an illusion Kukurisan Thats why its better not to worry about it
Kakeru Satsuki,I guess so thanks If the Crimson Night comes again dont move until I come okay
Yuka Minase,Yeah got it Kakerukun
Kakeru Satsuki,Yuka Can I really protect Yuka I want to protect her but With the way I am right now Again
Lisette,Save me
Yuka Minase,Hey
Kakeru Satsuki,Yuka
Yuka Minase,Geez you disappeared without a word so I panicked
Kakeru Satsuki,Ah sorry
Yuka Minase,Were you looking it up
Kakeru Satsuki,I doubt that theres an answer but I couldnt just stand there not doing anything
Yuka Minase,I see Ill help search too then
Kakeru Satsuki,Okay
Yuka Minase,Kakerukun What happened
Kakeru Satsuki,Its not an illusion She was there Right now here Neesan was here
Yuka Minase,Could this be
Kakeru Satsuki,My eye
Yuka Minase,Kakerukun Kakerukun
Kakeru Satsuki,A black moon
Yuka Minase,A black moon
Kakeru Satsuki,How Why What is going on
Misuzu Kusakabe,I dont know However I do know that this is certainly not a good omen From now on whenever we are sent into the Crimson Night lets gather together at this school
Yuka Minase,Yes
Kakeru Satsuki,Yes
Misuzu Kusakabe,Also that girl that I said Id introduce to you still doesnt feel up to it
Kakeru Satsuki,Eh She doesnt want to meet us
Yuka Minase,I think that wed be more composed if we were together though
Misuzu Kusakabe,Everyone has personal issues Just wait a bit longer
Kakeru Satsuki,I understand
Misuzu Kusakabe,See you later
Kakeru Satsuki,Ah Kusakabesenpai
Misuzu Kusakabe,What is it Satsukikun
Kakeru Satsuki,Um I have something to discuss with you later
Misuzu Kusakabe,I see Well then come to my classroom at lunch break
Kakeru Satsuki,Okay
Misuzu Kusakabe,What did you mean by something to discuss Kakerukun
Kakeru Satsuki,Its nothing Come on class is gonna start soon
Yuka Minase,Kakerukun
Kakeru Satsuki,The person who woke up the demon is you A demon was it So then you is It really is me If so then its my fault that Yuka and everyone else have been dragged into the Crimson Night All because of me
Yuka Minase,Kakerukun Kakerukun
Kakeru Satsuki,Huh Ah SSorry Sorry
Tadashi Teruya,Kakerukun Not enough sleep You mustve been doing something staying up late eh Pervert Kaorisan Hitting people with textbooks means failing this grade
Kaori Natsuki,Sensei please throw this noisy piece of trash away quickly
Tadashi Teruya,Youre so mean What do you mean by trash
Misuzu Kusakabe,Powers
Kakeru Satsuki,Yes I want to awaken them Powers that are supposedly dormant inside of me
Misuzu Kusakabe,What do you want me to do
Kakeru Satsuki,Please teach me how to fight
TL Note,If these dormant powers are meant for fighting then they might awaken if I fight No they should awaken
Misuzu Kusakabe,Thatd be nice I understand your feeling to protect Yuka Minase However haste tends to bring about mistakes You cant become an expert overnight
Kakeru Satsuki,I know that Even so I want to do it No Its something I must do Because of me Please Kusakabesenpai Please teach me how to use a sword
Misuzu Kusakabe,I refuse
Kakeru Satsuki,Senpai please wait
students,Hey lets eat over there Lets go
Yukiko Hirohara,Ive found you Yukasan
Yuka Minase,YYukikochan
Yukiko Hirohara,Ah That looks delicious May I have just a bite Avocado and shrimp huh This is really good Yummy yummy Thank you for the food
Yuka Minase,You said just a bite
Yukiko Hirohara,Eh Ah Im sorry It was so tasty that I just ate it all
Yuka Minase,Thank you
Yukiko Hirohara,Huh For what Isnt this where you get mad at me for eating it all Ah Could it be that youve poisoned it
Yuka Minase,Thats not it I just felt better after seeing your smile Thats why thank you
Yukiko Hirohara,Ah So thats what you were going on about Well then Ill smile some more for you
Kakeru Satsuki,This isnt good Theres no point in reading this bogus
Yuka Minase,Is he an acquaintance of yours Yukikochan
Yukiko Hirohara,Eh Uh kind of
Yuka Minase,Could it be someone you like
Yukiko Hirohara,Ehh Thats wrong Geez what are you saying Yukasan
Yuka Minase,So thats not it Im sorry
Yukiko Hirohara,That person I dont know how to put this but Hes the same That person is also suffering
Yuka Minase,Yukikochan
Yukiko Hirohara,Yukasan I didnt think so before but you actually have some pretty nice breasts They feel so good
Yuka Minase,HHold on Yukikochan
Yukiko Hirohara,Its so calming
Tadashi Teruya,All right Shiorichan hows this
Shiori Momono,It seems like there is something wrong with your head
Tadashi Teruya,Eh
Shiori Momono,That is a complete set Why is the fifth book beside the first
Tadashi Teruya,Eh Ah youre right
Shiori Momono,The numbers are not just for display you know Please fix it
Kakeru Satsuki,Whats going on
Kaori Natsuki,Shiorichan has become the librarian so Tadashi said hed help out and this is how things ended up
Kakeru Satsuki,So thats how it is
Tadashi Teruya,All right Okay now its perfect
Shiori Momono,On second thought lets move that whole set down one shelf Please do it swiftly
Tadashi Teruya,Fine
Kaori Natsuki,Tadashi good luck
Yuka Minase,Kakerukun Senpai
Shiori Momono,Misuzu Kusakabe huh
Misuzu Kusakabe,The Kusakabe household has always protected the country and people fulfilling its role as an Onmyouji clan Thats why Ive never questioned becoming an Onmyouji Furthermore if I were to become one I wished to be strong Its a red seal
Kakeru Satsuki,A red seal
Misuzu Kusakabe,I hold all five treasured swords of the Kusakabe lineage These demon swords are quite powerful so I usually have them sealed but when the need arises I summon them Kogarasu Maru Amakuni
TL Note,The Kogarasu Maru is a double bladed sword similar to both the Chinese straight sword and Japanese tachi created by Amakuni a legendary blacksmith considered the father of the Japanese katana
Misuzu Kusakabe,Kashagiri Hiromitsu
TL Note,This sword was rumored to have cut a kasha burning wagon a demon used to steal dead bodies in half
Misuzu Kusakabe,Kannagiri Nagamitsu
TL Note,This sword was rumored to have cut a demon in disguise as a carpenter in half along with the kanna carpenters plane it was carrying
Misuzu Kusakabe,Tachibana Dousetsu Raikiri
TL Note,Tachibana Dousetsu is a samurai rumored to have sliced a lightning bolt in half with his sword Raikiri the lightning blade
Misuzu Kusakabe,and finally Doujigiri Yatsuna
TL Note,This sword was rumored to have cut off the head of the demon Shuten Douji
Misuzu Kusakabe,The Kusakabe house being an Onmyouji clan was required to have powerful heirs obtain the treasured swords so it had members of the bloodline fight with real swords and gave one katana to each victor
Kakeru Satsuki,For there to be all five katanas here
Yuka Minase,So you won all of them right Incredible
Misuzu Kusakabe,Originally in order to prevent the concentration of all the power at one point theres an unspoken agreement that one person should only get one sword Since they were all legitimate fights though it cant be helped So because of that I had to leave my hometown
Kakeru Satsuki,Your hometown
Yuka Minase,Then this house is
Misuzu Kusakabe,Its my mothers villa Because my life is being sought after by everyone in the main family I moved away from my family and have lived here alone
Yuka Minase,They are after your life
Kakeru Satsuki,Why is that You got your katanas through legitimate fights right
Misuzu Kusakabe,Kusakabe is a distinguished family As a distinguished family honor is of utmost importance For someone young and also a woman to take all of the treasured swords isnt entertaining to my senpais Besides in my last battle I Ill keep my story at that Now lets begin
Kakeru Satsuki,Yes
Misuzu Kusakabe,Its heavier than you thought right
Kakeru Satsuki,Yes
Misuzu Kusakabe,Try it out
Kakeru Satsuki,Yes
Misuzu Kusakabe,One more time
Kakeru Satsuki,Yes
Misuzu Kusakabe,So thats how it is You and Kakeru Satsuki were both raised in an institution huh
Yuka Minase,Yes Thank goodness
Misuzu Kusakabe,Hm
Yuka Minase,You cant see a black moon at night
Misuzu Kusakabe,Oh
Yuka Minase,How is Kakerukun
Misuzu Kusakabe,He has no talent with the sword Still its better than him doing nothing
Yuka Minase,Will Kakerukuns power awaken
Misuzu Kusakabe,If hes lucky is my answer for now
Yuka Minase,Your last match You started talking about it then stopped halfway What happened You stopped talking because you didnt want to talk about it right Im sorry
Misuzu Kusakabe,I cut down my father In the fight for the last treasured sword Doujigiri Yasutsuna I cut down Toushi Kusakabe my father the head of the Kusakabe household Even though it was an official match the other disciples will probably never forgive me
Yuka Minase,Senpai
Misuzu Kusakabe,I was on bad terms with my father My father didnt like the fact that I looked up to a certain person
Yuka Minase,A certain person
Misuzu Kusakabe,Misao Kusakabe The woman known as the greatest female Onmyouji However she broke a law and was banished
Yuka Minase,What did she do
Misuzu Kusakabe,She became a Gehou user
Yuka Minase,Gehou
Misuzu Kusakabe,Its a method that strays from the Kusakabe ways which has cult spells and even western magic blended in
TL Note,The reallife definition of Gehou 外法 げほう is any religion that strays from Buddhism as opposed to Naihou 内法 ないほう
Misuzu Kusakabe,By the way This is also a form of Gehou
Yuka Minase,Misaosan right now is
Misuzu Kusakabe,She was banished seventy years ago
Yuka Minase,That means shes already
Misuzu Kusakabe,No
Yuka Minase,Eh
Misuzu Kusakabe,Maybe I might be able to meet her Over there
Yuka Minase,Eh By over there do you mean the Crimson Night Kakerukun
Misuzu Kusakabe,Did you do it Youre going to keep trying until you can do it Go back inside
Kakeru Satsuki,Theres no point in doing this Please teach me how to do it with real combat
Misuzu Kusakabe,No Its still too early
Kakeru Satsuki,Teach me even if its too early
Yuka Minase,Kakerukun
Kakeru Satsuki,I dont have time While Im doing this its going to happen again
Misuzu Kusakabe,Go back inside
Kakeru Satsuki,Kusakabesenpai I
Lisette,No please let me out
Kakeru Satsuki,You I did it All right come
Misuzu Kusakabe,Dont be so conceited after defeating just a single underling
Yuka Minase,Kakerukun
Kakeru Satsuki,A black knight
Misuzu Kusakabe,I have no intentions of dying Human forms Are you implying that you were once human And if we are
Yuka Minase,Why do you look like that
Misuzu Kusakabe,Run away
Kakeru Satsuki,Senpai but
Misuzu Kusakabe,Dont fight them blindly If you want to protect Yuka Minase then you must run Go What are you doing Hurry Run and live on Kakeru Yuka
Yuka Minase,Kakerukun Dont look back Run Kakerukun
Kakeru Satsuki,Shh All right hes gone
Yuka Minase,Kakerukun
Kakeru Satsuki,Dammit
Yuka Minase,You cant
Kakeru Satsuki,Ill distract him While I do that run away
Yuka Minase,Youll get killed Its impossible for you Kakerukun Youll die
Misuzu Kusakabe,Youve saved me thank you
Kakeru Satsuki,Yuka
Yuka Minase,Kakerukun
Kakeru Satsuki,I see Weve returned
Yuka Minase,Thank goodness
Kakeru Satsuki,Sorry
Misuzu Kusakabe,It looks like youve regained consciousness
Kakeru Satsuki,Kusakabesenpai Im sorry to have made you worry
Misuzu Kusakabe,The most important thing is that youre fine Satsukikun Yukakun let me introduce you Shes our new ally
Yukiko Hirohara,Next time The Mask of a Smile Could there be an end to this nightmare
Takahisa Tajima,Youre annoying
student,Oh man hes from our school Was it a fight Unbelievable
Takahisa Tajima,As I thought time hasnt passed in this world huh Isnt that nice You lot can take it easy
Yukiko Hirohara,Welcome everyone I am Yukiko Hirohara the Study of Modern Societies Club president By study of modern societies I mean more or less the specific investigative research on all things of modern society In other words the modern version of classic literature
Misuzu Kusakabe,Ive already heard that many times
Yukiko Hirohara,All right Our study of modern societies members are Not only that but two girls and one guy
Kakeru Satsuki,Its impossible My sister died seven years ago What I saw in the Crimson Night had to be an illusion Still at that time
Yuka Minase,Kakerukun something wrong Its not good to be brooding over it After all everyones gathered here
Kakeru Satsuki,Thats right
Yukiko Hirohara,Im so happy Ive made a lot of friends
Yuka Minase,Yukikochan youre incredible Youve managed to survive all alone in the Crimson Night right
Yukiko Hirohara,Yes
Yuka Minase,Does that mean that you have some kind of special power
Yukiko Hirohara,Im just a normal girl When I snap though Im scary
Yuka Minase,Youre always so cheerful Yukikochan
Yukiko Hirohara,Since thats my only good quality
Saiko Akamine,Jeez Where and with whom do you fight to get injuries like these You barely have enough attendance Youre frequently late to school too Do you have any intention of graduating
Takahisa Tajima,Youre so noisy you unmarried noguy woman
Saiko Akamine,Takahisa Im very happy that you dont hit women Hold it Hold it right there Takahisa
Misuzu Kusakabe,Fragments The black knights called us fragments
Avaritia,I have no need to answer a fragment that will soon disappear
Misuzu Kusakabe,What do they mean by fragments Also how many fragments are there
Yukiko Hirohara,Yes I know one of them When I first came to the Crimson Night I was saved by someone who looked like a hero of justice
Misuzu Kusakabe,Did you meet her too Yukikokun
Yukiko Hirohara,That person is not a her That person is a guy
Takahisa Tajima,Like I could say anything to her About that world or about this power too
Saiko Akamine,Takahisa Youre not getting away
Takahisa Tajima,Youre annoying
Yukiko Hirohara,All right Its decided For todays agenda lets go and look for that person If we decide fast everything can be done quickly Lets go
Takahisa Tajima,Sorry Ill just be in here for a sec
Saiko Akamine,Where did you go Takahisa Where are you
Takahisa Tajima,That was a close call
